movie,year,mins,genres,directors,actors
a-love-song-for-latasha,2019,18.0,['documentary'],['sophia-nahli-allison'],['brittany-hudson']
polaroid-2019,2019,88.0,"['thriller', 'horror', 'mystery']",['lars-klevberg'],"['kathryn-prescott', 'tyler-young', 'samantha-logan', 'keenan-tracey', 'priscilla-quintana', 'javier-botet', 'mitch-pileggi', 'davi-santos', 'katie-stevens', 'grace-zabriskie', 'madelaine-petsch', 'erika-prevost', 'shauna-macdonald', 'rhys-bevan-john', 'emily-power', 'matthew-lumley', 'riley-raymer', 'rob-mars', 'ned-the-dog']"
this-house-has-people-in-it,2016,12.0,"['comedy', 'horror']",['alan-resnick'],"['robby-rackleff', 'rory-ogden', 'jackson-manning', 'ben-obrien', 'alan-resnick', 'cricket-arrison', 'naomi-kline', 'sharyn-kmieciak', 'stephanie-barber-3', 'evelyn-bachman', 'james-bachman-1', 'adam-bachman']"
78-52,2017,91.0,['documentary'],['alexandre-o-philippe'],"['emilie-germain', 'oz-perkins', 'peter-bogdanovich', 'guillermo-del-toro', 'eli-roth', 'jamie-lee-curtis', 'aaron-moorhead', 'elijah-wood', 'bret-easton-ellis', 'alan-barnette', 'amy-e-duddleston', 'bill-krohn', 'bob-murawski', 'neil-marshall', 'chris-innis', 'danny-elfman', 'karyn-kusama', 'leigh-whannell', 'walter-murch', 'geoff-marslett', 'richard-stanley-1', 'david-thomson', 'fred-raskin', 'gary-rydstrom', 'illeana-douglas', 'jeannie-epper', 'jeffrey-ford', 'jim-hosney', 'john-murdy', 'john-venzon', 'justin-benson', 'katie-parker', 'marco-calamita', 'marli-renfro']"
best-christmas-ever-2023,2023,82.0,['comedy'],['mary-lambert'],"['brandy-norwood', 'heather-graham', 'jason-biggs', 'matt-cedeno', 'wyatt-hunt', 'abby-villasmil', 'madison-skye-validum', 'nadia-sine', 'janet-lo', 'allan-groves', 'randy-mundy', 'paul-kiernan', 'camille-cadarette', 'chase-ramsey', 'evan-lai-hipp', 'jake-mattson', 'kylie-rohead']"
romper-stomper,1992,94.0,"['thriller', 'action', 'drama']",['geoffrey-wright'],"['russell-crowe', 'daniel-pollock', 'jacqueline-mckenzie', 'alex-scott', 'leigh-russell', 'dan-wyllie-2', 'james-mckenna-3', 'eric-mueck', 'chris-mclean', 'josephine-keen', 'samantha-bladon', 'tony-le-nguyen', 'john-brumpton', 'janei-anderson', 'stephen-hall-4', 'tri-phan', 'craig-mercer', 'angus-cummings', 'frank-magree', 'don-bridges']"
the-secret-of-kells,2009,78.0,"['family', 'animation', 'fantasy']","['nora-twomey', 'tomm-moore']","['evan-mcguire', 'christen-mooney', 'brendan-gleeson', 'mick-lally', 'liam-hourican', 'paul-tylak', 'michael-mcgrath-2', 'paul-young-10', 'nora-twomey', 'alli-mccann', 'clair-funchion', 'conor-ohalloran', 'gaelle-hersent', 'marie-thorhauge', 'sean-lennon', 'jonas-hoffmann', 'fabian-erlinghauser', 'kairen-waloch', 'james-william-ohalloran']"
bob-ross-happy-accidents-betrayal-greed,2021,92.0,['documentary'],['joshua-rofe-1'],"['bob-ross', 'steve-ross-1', 'vicky-ross', 'john-thamm', 'ian-bourland', 'julia-friedman-1', 'dana-jester', 'doug-blandy', 'sally-schenck', 'gary-jenkins-2', 'kathwren-jenkins', 'andrea-baxter', 'bert-effing', 'walt-kowalski', 'annette-kowalski', 'lawrence-kapp', 'william-alexander']"
apollo-13,1995,140.0,"['history', 'drama']",['ron-howard'],"['tom-hanks', 'bill-paxton', 'kevin-bacon', 'gary-sinise', 'ed-harris', 'kathleen-quinlan', 'david-andrews', 'xander-berkeley', 'christian-clemenson', 'brett-cullen', 'loren-dean', 'clint-howard', 'ben-marley', 'marc-mcclure', 'tracy-reiner', 'joe-spano', 'mary-kate-schellhardt', 'emily-ann-lloyd', 'miko-hughes', 'max-elliott-slade', 'jean-speegle-howard', 'michele-little', 'chris-ellis', 'tom-wood-4', 'googy-gress', 'patrick-mickler', 'ray-mckinnon', 'max-grodenchik', 'ned-vaughn', 'andy-milder', 'geoffrey-blake', 'wayne-duvall', 'jim-meskimen', 'joseph-culp', 'john-short', 'ben-bode', 'todd-louiso', 'gabriel-jarret', 'christopher-john-fields', 'kenneth-white', 'james-ritz', 'andrew-lipschultz', 'mark-wheeler', 'larry-williams-10', 'endre-hules', 'karen-martin', 'maureen-hanley', 'meadow-williams', 'walter-von-huene', 'brian-markinson', 'steve-rankin', 'austin-obrien', 'louisa-marie', 'thom-barry', 'arthur-senzy', 'carl-gabriel-yorke', 'ryan-holihan', 'rance-howard', 'jane-jenkins-1', 'todd-hallowell', 'matthew-michael-goodall', 'taylor-goodall', 'misty-dickinson', 'roger-corman', 'lee-anne-matusek', 'mark-d-newman', 'mark-mckeel', 'patty-raya', 'jack-conley', 'jeffrey-kluger', 'bruce-wright', 'ivan-allen', 'jon-bruno', 'reed-rudy', 'steve-bernie', 'steve-ruge', 'herbert-jefferson-jr-1', 'john-dullaghan', 'john-wheeler', 'paul-mantee', 'julie-rowen', 'thomas-crawford', 'frank-cavestani', 'john-m-mathews', 'jim-lovell', 'neil-armstrong-2', 'jules-bergman', 'paul-vi']"
daybreak-express,1953,5.0,"['music', 'documentary']",['d-a-pennebaker'],[]
unhinged-2020,2020,90.0,"['thriller', 'horror', 'action']",['derrick-borte'],"['russell-crowe', 'caren-pistorius', 'gabriel-bateman', 'jimmi-simpson-1', 'austin-p-mckenzie', 'juliene-joyner', 'stephen-louis-grush', 'anne-leighton', 'michael-papajohn', 'lucy-faust', 'devyn-a-tyler', 'andrew-morgado', 'samantha-beaulieu', 'sylvia-grace-crim', 'gretchen-koerner', 'brett-smrz', 'deven-macnair', 'donna-duplantier', 'michael-randall', 'gregory-hobson-1', 'richard-burden', 'tim-bell', 'calvin-williams', 'timothy-hinrichs', 'vivian-fleming-alvarez', 'scheryl-w-brown', 'kevin-howard', 'scott-walker-11']"
the-dawn-wall,2017,101.0,"['adventure', 'documentary']","['peter-mortimer', 'josh-lowell-2']","['tommy-caldwell', 'john-branch-2', 'kevin-jorgeson', 'beth-rodden-1', 'becca-pietsch']"
debs,2004,91.0,"['action', 'comedy', 'romance']",['angela-robinson'],"['sara-foster', 'jordana-brewster', 'meagan-good', 'devon-aoki', 'jill-ritchie', 'geoff-stults', 'jimmi-simpson-1', 'holland-taylor', 'michael-clarke-duncan', 'jessica-cauffiel', 'christina-kirk', 'jb-ghuman-jr', 'scoot-mcnairy', 'jean-st-james', 'eric-dearborn', 'jenny-mollen', 'aimee-garcia', 'roger-fan', 'krista-conti', 'gina-salemi', 'kasey-stevens', 'jennifer-carpenter', 'eric-bachniarz', 'ryan-xavier', 'michael-david-masters', 'anthony-cecere']"
wish-upon,2017,91.0,"['fantasy', 'thriller', 'horror']",['john-r-leonetti'],"['joey-king', 'ki-hong-lee', 'sydney-park', 'shannon-purser', 'sherilyn-fenn', 'elisabeth-rohm', 'ryan-phillippe', 'mitchell-slaggert', 'josephine-langford', 'alice-lee', 'alexander-nunez', 'daniela-barbosa', 'kevin-hanchard', 'raegan-revord', 'victor-sutton', 'albert-chung', 'michelle-alexander', 'natalie-prinzen-klages', 'nora-prinzen-klages', 'monique-stinchcombe', 'danielle-pollari', 'rosalina-lee', 'ryan-taerk', 'jerry-oconnell', 'sean-jones-1', 'jake-gosden']"
nutcrackers,2024,104.0,"['drama', 'comedy']",['david-gordon-green'],"['ben-stiller', 'linda-cardellini', 'homer-janson', 'ulysses-janson', 'arlo-janson', 'atlas-janson', 'toby-huss', 'maren-heisler', 'edi-patterson', 'tim-heidecker-1', 'ari-graynor', 'ashley-spillers', 'lucy-zukaitis', 'bryant-carroll', 'louis-heisler', 'noah-fisher-2', 'isabella-steele', 'dominick-marrone', 'vasily-deris', 'jerome-agean', 'estelle-lapina', 'brooks-roseberry', 'will-daly-1', 'evan-bartos', 'alexander-louis', 'rodrigo-almarales', 'jeff-janson', 'melissa-gelfin', 'jenny-mcmanus-1']"
