movie,year,mins,genres,directors,actors
the-sting,1973,129.0,"['drama', 'comedy', 'crime']",['george-roy-hill'],"['paul-newman', 'robert-redford', 'robert-shaw', 'charles-durning', 'ray-walston', 'eileen-brennan', 'harold-gould', 'john-heffernan', 'dana-elcar', 'jack-kehoe', 'dimitra-arliss-1', 'robert-earl-jones', 'james-sloyan', 'charles-dierkop', 'lee-paul', 'sally-kirkland', 'avon-long', 'arch-johnson', 'ed-bakey', 'brad-sullivan', 'john-quade', 'larry-d-mann', 'leonard-barr', 'paulene-myers', 'joe-tornatore', 'jack-collins-1', 'tom-spratley', 'kenneth-obrien', 'ken-sansom', 'ta-tanisha', 'william-benedict', 'robert-brubaker', 'kathleen-freeman', 'susan-french', 'bruce-kimball', 'alexander-lockwood', 'chuck-morrell', 'byron-morrow', 'pearl-shear', 'arthur-tovey', 'guy-way', 'jim-michael']"
color-out-of-space,2019,110.0,"['mystery', 'science-fiction', 'thriller', 'horror']",['richard-stanley-1'],"['nicolas-cage', 'joely-richardson', 'madeleine-arthur', 'elliot-knight', 'tommy-chong', 'brendan-meyer', 'julian-hilliard', 'josh-c-waller', 'qorianka-kilcher', 'melissa-nearman', 'amanda-booth-2', 'keith-harle']"
horse-feathers,1932,68.0,"['romance', 'comedy']",['norman-z-mcleod'],"['groucho-marx', 'harpo-marx', 'chico-marx', 'zeppo-marx', 'thelma-todd', 'david-landau-1', 'bobby-barber', 'reginald-barlow', 'vince-barnett', 'sheila-bromley', 'eh-calvert', 'edgar-dearing-1', 'robert-greig', 'theresa-harris', 'edward-lesaint', 'florine-mckinney', 'nat-pendleton', 'james-pierce', 'frank-rice', 'syd-saylor', 'arthur-sheekman', 'ben-taggart', 'phil-tead']"
seven-psychopaths,2012,110.0,"['comedy', 'crime']",['martin-mcdonagh'],"['colin-farrell', 'sam-rockwell', 'woody-harrelson', 'christopher-walken', 'olga-kurylenko', 'tom-waits', 'abbie-cornish', 'michael-stuhlbarg', 'kevin-corrigan', 'zeljko-ivanek', 'michael-pitt-1', 'linda-bright-clay', 'joseph-lyle-taylor', 'gabourey-sidibe', 'amanda-warren', 'helena-mattsson', 'harry-dean-stanton', 'james-landry-hebert', 'christopher-gehrman', 'christian-barillas', 'long-nguyen', 'christine-marzano', 'frank-alvarez', 'brendan-sexton-iii', 'john-bishop-3', 'richard-wharton', 'johnny-bolton', 'ronnie-gene-blevins', 'tai-chan-ngo', 'kiran-deol', 'patrick-oconnor-4', 'samantha-cutaran', 'chester-the-chihuahua', 'bonny']"
roald-dahls-matilda-the-musical,2022,117.0,"['comedy', 'family', 'fantasy']",['matthew-warchus'],"['alisha-weir', 'emma-thompson', 'lashana-lynch', 'stephen-graham', 'andrea-riseborough', 'sindhu-vee', 'carl-spencer-1', 'lauren-alexandra-1', 'winter-jarrett-glasspool', 'andrei-shen', 'ashton-robertson', 'meesha-garbett', 'charlie-hodson-prior', 'rei-yamauchi-fulker', 'katherine-kingsley', 'amber-adeyinka', 'james-laurenson', 'ann-firbank', 'amanda-lawrence', 'james-dryden', 'matt-henry-1', 'karen-mavundukure', 'tia-isaac', 'ella-chadwick', 'erin-rushidi', 'rudy-gibson', 'isa-islam-1', 'joshua-moabi', 'poppy-caton', 'ian-mcintosh-4', 'kirsty-malpass', 'tim-bentinck', 'charlie-beeton', 'daniel-bill-2', 'serrana-su-ling-bliss', 'toby-brandon', 'isla-brill', 'olivia-clark', 'atalia-mai-cornelia', 'imogen-darwen', 'demi-delord', 'hannah-deverell', 'dylan-duharty', 'charlie-gordon-1', 'lauren-hasselbaink', 'miah-hasselbaink', 'myka-holland', 'noah-leggott', 'bebe-massey', 'chloe-muldowney', 'sara-munday', 'elizabeth-nurdin', 'olivia-thomas-2', 'lyla-toplass', 'leon-ung', 'scarlett-weegram', 'poppy-whittaker', 'rochelle-wyatt-1', 'thomas-arnold-1']"
fast-and-furry-ous,1949,7.0,"['animation', 'comedy']",['chuck-jones-2'],"['paul-julian', 'mel-blanc']"
leatherheads,2008,114.0,"['comedy', 'drama', 'romance']",['george-clooney'],"['george-clooney', 'renee-zellweger', 'john-krasinski', 'wayne-duvall', 'stephen-root', 'jonathan-pryce', 'jack-thompson-1', 'max-casella', 'matt-bushell', 'nick-paonessa', 'malcolm-goodwin', 'robert-baker', 'tim-griffin', 'keith-loneker', 'david-de-vries', 'rick-forrester', 'tommy-hinkley', 'lance-barber', 'nicholas-bourdages', 'jason-drago', 'bill-roberson-1', 'hi-bedford-roberson', 'mark-teich', 'christian-stolte', 'windy-wenderlich', 'marian-seldes', 'thomas-francis-murphy', 'jd-cullum', 'dave-hager', 'danny-vinson', 'mike-omalley', 'dylan-kussman', 'ryan-shively', 'kyle-nudo', 'heather-goldenhersh', 'grant-heslov', 'bobby-jordan-1']"
the-hitch-hiker,1953,71.0,"['thriller', 'drama', 'crime']",['ida-lupino'],"['edmond-obrien', 'frank-lovejoy', 'william-talman', 'jose-torvay', 'sam-hayes', 'wendell-niles', 'jean-del-val', 'clark-howat', 'natividad-vacio', 'larry-hudson', 'collier-young', 'gordon-barnes', 'rodney-bell', 'orlando-beltran', 'wade-crosby', 'june-dinneen', 'joe-dominguez', 'henry-a-escalante', 'al-ferrara', 'taylor-flaniken', 'nacho-galindo', 'martin-garralaga', 'ed-hinton', 'jerry-lawrence', 'george-navarro', 'kathy-riggins', 'tony-roux', 'felipe-turich', 'rosa-turich']"
last-flag-flying,2017,125.0,"['drama', 'comedy']",['richard-linklater'],"['steve-carell', 'bryan-cranston', 'laurence-fishburne', 'j-quinton-johnson', 'deanna-reed-foster', 'yul-vazquez', 'graham-wolfe', 'jeff-monahan', 'dontez-james', 'tammy-tsai', 'richard-barlow', 'cathy-odell', 'jane-mowder', 'richard-robichaux', 'jerry-lee-tucker', 'marc-moore-1', 'kate-easton', 'cicely-tyson', 'sarah-silk', 'ted-watts-jr', 'lee-harrington', 'samuel-davis', 'brian-wolfman-black-bowman', 'kelli-culbertson', 'chris-dettone', 'chris-drexel', 'eric-frank', 'adam-hicks-1', 'john-w-iwanonkiw', 'trudi-kennedy', 'daniel-lamont-1', 'james-lloyd', 'christopher-nardizzi', 'phil-nardozzi', 'rebecca-phipps', 'dwayne-pintoff', 'sofia-plass', 'eric-rasmussen', 'mario-ruiz-4', 'brian-e-stead', 'gary-lee-vincent', 'jeremy-waltman', 'zoe-xandra', 'daniel-james-17', 'wain-jenkins']"
maelstrom,2000,87.0,"['drama', 'comedy']",['denis-villeneuve'],"['marie-josee-croze', 'jean-nicolas-verreault', 'stephanie-morgenstern', 'pierre-lebeau', 'kliment-denchev', 'john-dunn-hill', 'bobby-beshro', 'marie-france-lambert', 'luis-oliva-3', 'robin-aubert', 'sylvie-moreau', 'khanh-hua', 'virginie-dubois-1', 'daniel-turcot', 'darrell-lloyd-tucler', 'leo-arguello', 'martin-boucher', 'vuk-stojanovic', 'valentina-blagodatska', 'zhenhu-han-1', 'alexis-belec', 'annie-de-raiche', 'alfonso-valles-1', 'irene-forsberg', 'ragnhild-sveistrup', 'clermont-jolicoeur', 'paul-brian-impechette', 'richard-frechette', 'jean-chen', 'alejandro-moran', 'belinda-hum', 'jean-mustaki', 'eric-lehner-1', 'raymond-belisle', 'jacques-lavallee', 'armand-vachon', 'pierre-collin', 'diane-st-jacques']"
dont-hug-me-im-scared-4,2015,6.0,"['animation', 'music', 'fantasy', 'horror', 'comedy']","['becky-sloan', 'joseph-pelling']","['baker-terry-1', 'royngtt', 'joseph-pelling']"
the-house-with-laughing-windows,1976,110.0,"['thriller', 'mystery', 'horror']",['pupi-avati'],"['lino-capolicchio', 'francesca-marciano', 'gianni-cavina', 'giulio-pizzirani', 'bob-tonelli', 'vanna-busoni', 'pietro-brambilla', 'ferdinando-orlandi', 'andrea-matteuzzi', 'ines-ciaschetti', 'pina-borione', 'flavia-giorgi', 'arrigo-lucchini', 'carla-astolfi', 'luciano-bianchi', 'tonino-corazzari', 'libero-grandi', 'cesare-bastelli', 'gina-bonacquisti', 'pietro-bona', 'paolo-gramignano', 'zora-kerova', 'eugene-walter', 'giovanni-brusatori']"
men-2022,2022,100.0,"['fantasy', 'horror', 'thriller']",['alex-garland'],"['jessie-buckley', 'rory-kinnear', 'paapa-essiedu', 'gayle-rankin', 'sarah-twomey', 'zak-rothera-oxley', 'sonoya-mizuno']"
multiple-maniacs,1970,96.0,"['crime', 'comedy', 'horror']",['john-waters-2'],"['divine', 'david-lochary', 'mary-vivian-pearce', 'mink-stole', 'cookie-mueller', 'edith-massey', 'susan-lowe', 'rick-morrow', 'howard-gruber', 'paul-swift', 'vincent-peranio', 'jim-thompson-2', 'dee-vitolo', 'ed-peranio', 'bob-skidmore', 'margie-skidmore', 'jack-walsh-1', 'susan-walsh', 'gilbert-mcgill', 'pat-moran', 'paul-landis-1', 'mark-lazarus-1', 'harvey-freed', 'susie-nichols', 'steve-waters', 'julia-richardson', 'william-kirby-cullen', 'jack-roberts-5', 'mark-isherwood', 'berenica-cipcus', 'hawley-peterson', 'tom-wells', 'michael-renner-jr', 'cowboy-foulke', 'george-figgs', 'alan-reese']"
doom-annihilation,2019,97.0,"['action', 'science-fiction', 'horror']",['tony-giglio'],"['amy-manson', 'luke-allen-gale', 'nina-bergman', 'dominic-mafham', 'james-weber-brown', 'lorina-kamburova', 'louis-mandylor-1', 'jemma-moore', 'katrina-nare', 'chidi-ajufo', 'gavin-brocker', 'cassidy-little', 'arkie-reece', 'nathan-cooper', 'clayton-adams', 'amar-chadha-patel-1', 'hari-dhillon', 'boyan-anev', 'vasil-yordanov', 'gina-philips']"
the-psychic,1977,97.0,"['thriller', 'mystery', 'horror']",['lucio-fulci'],"['jennifer-oneill', 'gabriele-ferzetti', 'marc-porel', 'gianni-garko', 'ida-galli', 'jenny-tamburi', 'fabrizio-jovine', 'riccardo-parisio-perrotti', 'loredana-savelli', 'salvatore-puntillo', 'bruno-corazzari', 'vito-passeri', 'franco-angrisano', 'veronica-michielini', 'paolo-pacino', 'fausta-avelli', 'elizabeth-turner', 'ugo-dalessio', 'luigi-diberti', 'camilla-fulci']"
the-bodyguard-1992,1992,130.0,"['drama', 'action', 'romance']",['mick-jackson'],"['kevin-costner', 'whitney-houston', 'gary-kemp', 'bill-cobbs', 'ralph-waite', 'tomas-arana', 'michele-lamar-richards', 'mike-starr', 'christopher-birt', 'devaughn-nixon', 'gerry-bamman', 'joe-urla', 'tony-pierce', 'charles-keating', 'robert-wuhl', 'debbie-reynolds', 'danny-kamin', 'ethel-ayler', 'sean-cheesman', 'richard-schiff', 'chris-connelly', 'nathaniel-parker', 'bert-remsen', 'donald-hotton', 'nita-whitaker', 'patricia-healy', 'blumen-young', 'rob-sullivan-1', 'jennifer-lyon-buchanan', 'stephen-shellen', 'victoria-bass', 'abbey-vine', 'phil-redrow', 'joe-hess', 'marta-velasco-2', 'joe-unger', 'gwen-seliger', 'susan-traylor', 'pat-poole', 'shelley-a-hill', 'amy-lou-dempsey', 'rosie-lee-hooks', 'ken-myles', 'robert-l-feist', 'charles-bazaldua', 'tracye-logan', 'art-spaan', 'douglas-price', 'ellin-la-var', 'joseph-zabrosky', 'rollin-jarrett', 'david-m-morano', 'carla-lizzette-mejia', 'linda-thompson-3', 'david-foster', 'towanna-king', 'david-joseph-martinez', 'tony-burrer', 'jorga-caye', 'shaun-earl', 'bruce-holman', 'dan-koko', 'damon-stout', 'john-tesh', 'mark-thomason-1', 'marilyn-brandt', 'robert-buckingham', 'edward-coch-jr', 'juan-de-villa', 'bruce-dobos', 'lanier-edwards', 'roy-goldman-1', 'kevin-grevioux', 'gail-l-harrington', 'robert-lombardo-1', 'douglas-maida', 'jim-mohlman', 'rudy-e-morrison', 'nils-nichols', 'george-sasaki']"
a-cat-in-the-brain,1990,93.0,"['comedy', 'horror']",['lucio-fulci'],"['lucio-fulci', 'david-l-thompson', 'jeoffrey-kennedy', 'malisa-longo', 'paola-cozzo', 'shillett-angel', 'brett-halsey', 'robert-egon', 'ria-de-simone', 'sacha-darwin', 'annie-belle', 'marco-di-stefano', 'lubka-lenzi', 'jessica-moore', 'paul-muller', 'maurice-poli', 'vincenzo-luzzi']"
rosetta,1999,95.0,['drama'],"['luc-dardenne', 'jean-pierre-dardenne']","['emilie-dequenne-1', 'olivier-gourmet', 'fabrizio-rongione', 'anne-yernaux', 'bernard-marbaix', 'frederic-bodson', 'florian-delain', 'christiane-dorval', 'mireille-bailly', 'thomas-gollas', 'leon-michaux', 'victor-marit', 'colette-regibeau', 'claire-tefnin', 'sophia-leboutte', 'gaetano-ventura', 'christian-neys', 'valentin-traversi', 'jean-francois-noville']"
godzilla-vs-mothra,1992,102.0,"['science-fiction', 'adventure', 'fantasy', 'action']",['takao-okawara'],"['tetsuya-bessho', 'satomi-kobayashi', 'takehiro-murata', 'saburo-shinoda', 'akiji-kobayashi', 'akira-takarada', 'makoto-otake-1', 'keiko-imamura', 'kenpachiro-satsuma', 'megumi-odaka', 'sayaka-osawa', 'koichi-ueda-1', 'tetsu-watanabe', 'shiori-yonezawa', 'susumu-kurobe', 'shin-tatsuma', 'shinya-ohwada', 'kenzo-ogiwara-1', 'yoshiko-tanaka']"
rambo-iii,1988,102.0,"['thriller', 'adventure', 'war', 'action']",['peter-macdonald'],"['sylvester-stallone', 'richard-crenna', 'marc-de-jonge-1', 'kurtwood-smith', 'spiros-focas', 'sasson-gabai', 'doudi-shoua', 'randy-raney', 'marcus-gilbert', 'alon-aboutboul', 'mahmoud-assadollahi', 'yosef-shiloach', 'harold-diamond', 'mati-seri', 'hany-said-el-deen', 'shaby-ben-aroya', 'marciano-shoshi', 'sadiq-tawfik', 'julian-patrice', 'tal-kastoriano', 'benny-bruchim', 'tikva-aziz', 'milo-rafi', 'clark-acton', 'rt-freeman', 'iyad-hajjaj', 'paul-dion-monte', 'mic-rodgers']"
a-christmas-horror-story,2015,99.0,"['fantasy', 'horror']","['steven-hoban', 'grant-harvey-1']","['william-shatner', 'george-buza', 'rob-archer', 'zoe-de-grand-maison', 'alex-ozerov-meyer', 'shannon-kook', 'amy-forsyth', 'jeff-clarke', 'michelle-nolden', 'olunike-adeliyi', 'adrian-holmes', 'orion-john', 'alan-c-peterson', 'percy-hynes-white', 'julian-richings', 'joe-silvaggio', 'damir-andrei', 'jessica-clement', 'debra-mccabe', 'corinne-conley', 'eric-woolfe', 'ken-hall', 'korina-rothery', 'jonathan-h-caines', 'brad-bennett', 'catherine-fan', 'dan-belley', 'paige-moyles', 'glen-gaston']"
kicking-screaming,2005,95.0,"['family', 'comedy']",['jesse-dylan'],"['will-ferrell', 'robert-duvall', 'mike-ditka', 'kate-walsh', 'musetta-vander', 'dylan-mclaughlin', 'josh-hutcherson', 'steven-anthony-lawrence', 'jeremy-bergman', 'elliott-cho', 'erik-walker', 'dallas-mckinney', 'francesco-liotti', 'alessandro-ruggiero', 'sammy-fine', 'timmy-deters', 'david-herman-1', 'rachael-harris', 'laura-kightlinger', 'jim-turner-1', 'julia-campbell', 'phill-lewis', 'david-bowe', 'matt-winston', 'susan-barnes', 'lu-elrod', 'tom-virtue', 'karly-rothenberg-1', 'joseph-r-sicari', 'timm-sharp', 'stasi-glenn-farbes', 'frank-cassavetes', 'jose-vivanco', 'jarrad-paul', 'rob-benedict', 'martin-starr', 'lisa-lackey', 'brian-palermo', 'scott-adsit', 'peter-jason', 'gus-buktenica', 'jeffrey-noah', 'kaitlyn-arens', 'harrison-doyle', 'christopher-garcia-reyes', 'chase-klitzner', 'brandon-vincent', 'zach-hendrickson', 'logan-rouse', 'daniel-barrera', 'brett-berman', 'richard-g-fray-ii', 'jeffrey-koval', 'kyle-nathanson', 'jeffrey-thomas-nemit-iii', 'jack-polson', 'wesley-taylor-1', 'michael-uyehara', 'tyler-reid-west', 'mason-lucero', 'austin-marques', 'vahe-nalbandian', 'willie-amakye', 'alex-borstein']"
aggro-dr1ft,2023,81.0,"['crime', 'thriller']",['harmony-korine-1'],"['jordi-molla', 'travis-scott', 'joshua-tilley', 'stet-blancett', 'chanya-middleton', 'xavier-rawson', 'madison-anderson', 'savannah-brownfield', 'megan-hernandez', 'elizabeth-vianale', 'lawryn-nicole-amey', 'cyn-chey', 'bianca-surrey', 'lou-mahoney', 'ed-cass', 'sandra-ramos-1', 'jonathan-mercado-1', 'scott-ference-1', 'david-mcphee-1', 'henry-moy', 'tommy-5', 'chau-von', 'mai-nguye', 'quoc-van', 'jerry-nguye', 'nicholas-gallagher', 'cyrus-marinay', 'wenxuan', 'domingo-paisano', 'omar-8', 'jordan-serin', 'cyan-serin', 'taylor-bates', 'evense-janvier', 'felipe-reinoso-1', 'fin-3', 'hunter-harrell', 'jah-bullet', 'sasha-bengisu', 'noah-miller-1', 'erik-rios', 'nehemiah-hayes', 'rayko', 'sebastian-15', 'gilbert-cruz', 'ja-qway-janvier', 'oneil-wort', 'jordan-knight-1', 'jaime-lederl', 'warren-noel', 'nelly-delisbrun', 'jarred-jones', 'dojuan-bethel', 'jose-brea', 'john-fully-thomas', 'carlos-dixon-1', 'rodney-1', 'remington-norman', 'khuan-michel', 'nikki-sky', 'tiffany-grant-4', 'jennie-campos', 'jesse-lee-wong', 'natalia-cardona-1', 'halle-victoria-payne', 'dustin-greer', 'ryan-perea', 'quentin-wright-1', 'daniel-sharkey', 'jay-lee-7', 'matias-incoronato', 'aveus-bush-jr', 'melody-sullivan', 'yoanet-ramirez', 'larrisha-blackman', 'tia-yahnke', 'zenia-sosa', 'nayari-ng', 'imani-lewis']"
bad-moon,1996,80.0,['horror'],['eric-red'],"['michael-pare', 'mariel-hemingway', 'mason-gamble', 'hrothgar-mathews', 'ken-pogue', 'johanna-marlowe-1', 'julia-montgomery-brown', 'gavin-buhr', 'primo-2', 'ken-kirzinger']"
stuck-on-you,2003,119.0,['comedy'],"['bobby-farrelly', 'peter-farrelly']","['matt-damon', 'greg-kinnear', 'eva-mendes', 'wen-yann-shih', 'pat-crawford-brown', 'ray-rocket-valliere', 'tommy-songin', 'terence-bernie-hines', 'cher', 'jackie-flynn', 'seymour-cassel', 'griffin-dunne', 'bridget-tobin', 'danny-murphy', 'malcolm-g-chase-jr', 'steve-cerrone', 'docky', 'will-coogan', 'skyler-stone', 'leslie-monroe', 'mike-cerrone', 'michael-lee-merrins', 'jonathan-cauff', 'sean-gildea', 'michael-callan', 'dane-cook', 'steve-tyler', 'peter-dante', 'benjamin-koldyke', 'jessica-cauffiel', 'roger-fan', 'jennifer-burnham', 'elaine-curtis', 'gary-valentine', 'mariann-neary', 'terez-kocsis', 'ben-carson', 'sayed-badreya', 'hillary-matthews', 'dan-geraci', 'bob-mone', 'brian-mone', 'catherine-mccord', 'kelly-albanese', 'paulina-neely', 'daniel-greene', 'brian-hayes-currie', 'tracy-ashton', 'ellen-jacoby', 'doug-jones', 'lin-shaye', 'johnny-cicco', 'juliet-cariaga', 'jeff-ross-1', 'googy-gress', 'jay-leno', 'gene-feldman-2', 'kiele-sanchez', 'luke-wilson', 'nikki-tyler-flynn', 'tom-brady-1', 'lawyer-milloy', 'george-christy', 'stephen-saux', 'tracey-ruggiero', 'rhona-mitra', 'ashley-b-howard', 'monika-kramlik', 'adam-shankman', 'cam-neely', 'lisa-ratzin', 'apple-farrelly', 'remy-thorne', 'troy-brown', 'ryan-biegel', 'frankie-muniz', 'deborah-smith-ford', 'mary-hart', 'meryl-streep', 'bella-thorne', 'jesse-ventura', 'fernanda-lima']"
hellbound-hellraiser-ii,1988,97.0,"['horror', 'thriller', 'fantasy']",['tony-randel'],"['ashley-laurence', 'clare-higgins', 'kenneth-cranham', 'imogen-boorman', 'william-hope-1', 'sean-chapman', 'doug-bradley', 'barbie-wilde', 'simon-bamford', 'nicholas-vince', 'oliver-smith', 'angus-macinnes', 'ron-travis', 'oliver-parker', 'catherine-chevalier', 'deborah-joel', 'james-tillitt', 'bradley-lavelle', 'edwin-craig', 'andrew-robinson-1', 'robert-hines', 'michael-cassidy-1', 'anthony-allen', 'grace-kirby', 'kevin-cole-1']"
10-to-midnight,1983,102.0,"['thriller', 'crime', 'drama']",['j-lee-thompson'],"['charles-bronson', 'lisa-eilbacher', 'andrew-stevens-1', 'geoffrey-lewis', 'gene-davis', 'wilford-brimley', 'robert-f-lyons', 'sydna-scott', 'iva-lane', 'ola-ray', 'kelly-preston', 'cosie-costa', 'paul-mccallum', 'jeana-keough', 'june-gilbert', 'arthur-hansel', 'sam-chew-jr', 'katrina-parish', 'shawn-schepps', 'barbara-pilavin', 'beau-billingslea', 'breck-costin', 'carmen-filpi', 'deran-sarafian', 'jeane-manson', 'patti-tippo', 'bert-williams-2', 'james-keane', 'jerome-thor', 'lynette-harrison', 'neal-fleming', 'john-garwood', 'shay-duffin', 'daniel-ades', 'cynthia-ream', 'kyle-edward-cranston', 'beth-reinglass', 'monica-ekblad', 'anne-lockhart', 'ron-preston-1', 'kyle-j-wood']"
the-music-room,1958,100.0,"['drama', 'music']",['satyajit-ray'],"['chhabi-biswas', 'gangapada-basu', 'kali-sarkar', 'tulsi-lahiri', 'padmadevi', 'pinaki-sengupta', 'begum-akhtar', 'waheed-khan', 'roshan-kumari', 'sardar-akhtar', 'bismillah-khan', 'dakshinamohan-thakur', 'ashish-kumar-3', 'robin-mazumdar', 'imrat-khan', 'salamat-ali-khan', 'tarapada-nandy']"
the-neverending-story,1984,102.0,"['fantasy', 'drama', 'family', 'adventure']",['wolfgang-petersen'],"['noah-hathaway', 'barret-oliver', 'tami-stronach', 'alan-oppenheimer', 'sydney-bromley', 'patricia-hayes', 'moses-gunn', 'frank-lenart', 'robert-jadah', 'gerald-mcraney', 'tilo-pruckner', 'deep-roy', 'chris-eastman', 'darryl-cooksey', 'nicholas-gilbert', 'thomas-hill', 'donald-arthur', 'bernd-eichinger', 'wolfgang-petersen', 'brian-wheeler', 'silvia-seidel', 'beth-andersen']"
guava-island,2019,56.0,"['comedy', 'music', 'thriller']",['hiro-murai'],"['donald-glover', 'rihanna', 'letitia-wright', 'nonso-anozie', 'alan-jael-velazquez-abreu', 'renny-arozarena', 'betiza-bismark', 'michael-ricardo-crespo-cardenas', 'barbara-janet-martinez', 'ayensi-amilgar-jardines-delgado', 'pedro-julio-diaz', 'talia-gomez', 'victor-manuel-correa-magueira', 'claudia-rivero-martinez', 'kdir-michel-varela-moreno', 'iyaima-martinez-navarro', 'luis-enrique-carreres', 'yansel-alberto-monagas-perez', 'karla-talia-pino-piloto', 'enrique-quinones-1', 'alain-rodriguez', 'daniel-amat-rodriguez-1', 'rubens-rodriguez-soberon', 'marley-palma-bosh', 'jaiko-ignacio-crespo-puig', 'greisy-ariosa-muguercia', 'lisbet-la-pera-quinones', 'osmara-berta-ival-montenegro', 'aaron-oscar-valdes-taboada', 'dania-rosa-santiago-madrigal', 'yenni-gonzalez-pavon', 'yanara-garcia-calderon', 'dariel-perez-perez', 'yamilka-perez-perez', 'andys-triana-gonzales', 'waldir-iznaga-espada', 'ernesto-gomez-1', 'jorge-enrique-vicente-munoz', 'rodney-barreto', 'alejandro-delgado-rodriguez', 'jamil-schery-calderon', 'santos-eduardo-ramirez-garcia', 'yoneisi-perez-bonilla', 'yasser-marrero-molinet', 'orali-penalver-hermida', 'wilber-santa-cruz-hermida', 'duniel-medina-rivero', 'barbaro-biant-hermida', 'raudel-rodriguez-castro', 'ivan-jose-isaac-montes', 'deivis-adrian-rodriguez-hernandez', 'mayke-raido-fraguera-penalver', 'yeremi-zamora-reyes', 'odin-nuevas-duperry', 'yunior-cutino-parodi', 'sherrie-silver', 'keyla-castellon', 'naomy-sanchez', 'duannis', 'jessi-gutierrez', 'yordan-herrera', 'abelardo-oliver', 'odesa-de-los-santos', 'carlos-rojas-1', 'dayron-jimenez', 'joan-mulet', 'jorge-calvaire', 'zaida-aymerich', 'adrian-cisneros-flores', 'mayra-mazorra']"
shock-waves,1977,85.0,"['science-fiction', 'war', 'horror']",['ken-wiederhorn-1'],"['peter-cushing', 'john-carradine', 'brooke-adams', 'fred-buch', 'jack-davidson', 'luke-halpin', 'dj-sidney', 'don-stott', 'clarence-thomas', 'talmadge-scott', 'robert-miller-1', 'gary-j-levinson', 'sammy-graham', 'preston-white', 'reid-finger', 'mike-kennedy-7', 'donahue-guillory', 'jay-maeder', 'robert-miller-17', 'wayne-hood', 'fred-olen-ray']"
cameraperson,2016,102.0,['documentary'],['kirsten-johnson'],"['kirsten-johnson', 'jacques-derrida', 'michael-moore', 'richard-johnson-7']"
bergman-island-2021,2021,113.0,"['romance', 'drama']",['mia-hansen-love'],"['vicky-krieps', 'tim-roth', 'mia-wasikowska', 'anders-danielsen-lie', 'hampus-nordenson', 'anki-larsson', 'kerstin-brunnberg-1', 'melinda-kinnaman', 'stig-bjorkman', 'magnus-almqvist', 'lily-taieb', 'wouter-hendrickx', 'gabe-klinger', 'joel-spira', 'teodor-abreu', 'clara-strauch', 'jonas-larsson-gronstrom', 'felix-berg-1', 'ingmar-bergman-jr']"
treasure-planet,2002,96.0,"['fantasy', 'adventure', 'science-fiction', 'animation', 'family']","['ron-clements', 'john-musker']","['joseph-gordon-levitt', 'brian-murray', 'emma-thompson', 'david-hyde-pierce', 'martin-short', 'dane-a-davis', 'michael-wincott', 'laurie-metcalf', 'roscoe-lee-browne', 'patrick-mcgoohan', 'corey-burton', 'michael-mcshane', 'tony-jay', 'austin-majors', 'jack-angel', 'bob-bergen', 'rodger-bumpass', 'jane-carr', 'john-cygan', 'jennifer-darling', 'paul-eiding', 'sherry-lynn', 'mona-marshall', 'mickie-mcgowan', 'patrick-pinney', 'phil-proctor', 'jeremy-suarez', 'jim-ward-1', 'dee-bradley-baker', 'peter-cullen', 'austin-farmer-1']"
marvel-one-shot-item-47,2012,12.0,"['science-fiction', 'fantasy', 'action']",['louis-desposito'],"['lizzy-caplan', 'jesse-bradford', 'maximiliano-hernandez', 'titus-welliver']"
house-1985,1985,92.0,"['fantasy', 'horror', 'comedy']",['steve-miner'],"['william-katt', 'george-wendt', 'richard-moll', 'kay-lenz', 'mary-stavin', 'michael-ensign-1', 'erik-silver', 'mark-silver', 'susan-french', 'alan-autry', 'steven-williams-1', 'jim-calvert', 'mindy-sterling', 'jayson-kane', 'billy-beck', 'steve-susskind', 'john-william-young', 'dwier-brown', 'joey-green', 'stephen-nichols', 'donald-willis', 'ronn-carroll', 'curt-wilmot', 'ronn-wright', 'peter-pitofsky', 'felix-silla', 'renee-lillian', 'elizabeth-barrington', 'jerry-maren', 'eda-reiss-merin', 'stan-yale']"
love-in-the-afternoon,1957,130.0,"['romance', 'comedy']",['billy-wilder'],"['gary-cooper', 'audrey-hepburn', 'maurice-chevalier', 'john-mcgiver', 'van-doude', 'lise-bourdin', 'olga-valery', 'paul-bonifas', 'audrey-long', 'charles-lemontier', 'eve-marley', 'moustache', 'jean-ozenne', 'marcelle-praince', 'betty-schneider', 'alexandre-trauner', 'audrey-young']"
cruising,1980,102.0,"['thriller', 'crime', 'mystery']",['william-friedkin'],"['al-pacino', 'paul-sorvino', 'karen-allen', 'richard-cox', 'don-scardino', 'joe-spinell', 'jay-acovone', 'gene-davis', 'randy-jurgensen', 'barton-heyman', 'arnaldo-santana', 'larry-atlas', 'sonny-grosso', 'ed-oneill', 'michael-aronin', 'james-remar', 'william-russ', 'mike-starr', 'steve-inwood', 'keith-prentice', 'leland-starnes', 'robert-pope', 'leo-burmester', 'bruce-levine', 'charles-dunlap', 'powers-boothe', 'james-sutorius', 'richard-jamieson', 'jimmie-ray-weeks', 'david-winnie-hayes', 'carmine-stipo', 'james-hayden', 'todd-winters', 'kirsten-baker', 'henry-judd-baker', 'bob-duggan', 'burr-debenning', 'allan-miller']"
